screen_width,window_height,workerId,age,totalTime_mins,comments,window_width,curId,race,vision,curTime,gender,ethnicity,screen_height
1366,675,A1RBRXU7WN9U1E,27,21.7934333333,Thanks again for offering a mind-numbing experience that should last for remainder of the week. ,1284,3XIQGXAUMDS2C07UV1RT2L8PJ93X7O,white,normal,05/11/2018@13:51:35,male,not_hispanic,768
1067,616,A3BNF6C477NYW7,45,20.9161666667,,985,3XLBSAQ9Z5WRHV79WJFEZ6O0RAG7ZC,white,normal,05/11/2018@19:49:40,female,not_hispanic,600
1525,616,A1UDCJGMROXN1,33,23.3461666667,,1437,3YDGXNSEO0EFECO3LVHUJA7M1Y6849,white,corrected,05/11/2018@16:11:13,female,not_hispanic,858
1280,675,A1IIF95II8FISQ,36,29.2908666667,Thank you,1230,3YDGXNSEO0EFECO3LVHUJA7M1ZZ844,black,corrected,05/11/2018@19:36:07,female,not_hispanic,800
1366,675,A1ZHX6QVK82TIP,34,20.3033333333,,1282,3YHH42UU5CZTUVQLWJ3WCC3F4MNL0Q,white,normal,05/11/2018@16:51:57,male,not_hispanic,768
1920,675,A2PWE9TKEM99BA,35,20.7517333333,,1542,3YOH7BII0ARY3Q9JEGFKI5GQ9JSVKO,asian,normal,05/11/2018@16:11:37,female,not_hispanic,1080
1366,675,A1IBRH9KIKL7W3,27,27.05405,The final section was very long,1282,3YW4XOSQKR5WKAYX1GZXH4I8M5N1U4,na,corrected,05/11/2018@14:00:00,male,not_hispanic,768
1366,675,AG4MMHVYMTXFD,33,22.1536833333,none,1161,3ZAK8W07I5YWDLDF5XVX3ZZYHDKU0X,white,normal,05/11/2018@15:12:00,female,not_hispanic,768
1920,675,A36B9OFG2QJTM7,69,31.1601333333,,1758,3ZPPDN2SLWGXKJ46FTZLSSEOYTH9E4,white,impaired,05/11/2018@17:03:27,female,not_hispanic,1080
1280,675,A2VFJZIHLCVVFP,26,19.90025,,1196,3ZV9H2YQQER5MH1HJKSHNLI255BW3P,white,corrected,05/11/2018@15:50:50,female,not_hispanic,800
